name,price,link,company,product_seq,image,category,cooling_type,aircool_form,tdp,intel_socket,amd_socket,fan_size,fan_count,airflow,noise,width,length,height,radiator,radiator_length,radiator_thickness,hose_length,feature,as_years,reg_date,bookmark
PCCOOLER PALADIN 400 (BLACK),29470,https://prod.danawa.com/info/?pcode=14110475&cate=11236855,PCCOOLER,14110475,//img.danawa.com/prod_img/500000/475/110/img/14110475_1.jpg?shrink=330:*&_v=20230627163058,CPU 쿨러,0.0,0.0,200,7,3,130,1,81,28.6,130,,157,,,,,2,2,202105,
DEEPCOOL AG400,23000,https://prod.danawa.com/info/?pcode=17221538&cate=11236855,DEEPCOOL,17221538,//img.danawa.com/prod_img/500000/538/221/img/17221538_1.jpg?shrink=330:*&_v=20220701140154,CPU 쿨러,0.0,0.0,200,7,3,120,1,75.89,31.6,125,,150,,,,,2,1,202206,
잘만 CNPS9X PERFORMA (BLACK),19120,https://prod.danawa.com/info/?pcode=17658305&cate=11236855,잘만,17658305,//img.danawa.com/prod_img/500000/305/658/img/17658305_1.jpg?shrink=330:*&_v=20230713100947,CPU 쿨러,0.0,0.0,200,7,3,120,1,61.36,28,122,,157,,,,,2,,202208,
앱코 타이폰 120X5,32000,https://prod.danawa.com/info/?pcode=17393768&cate=11236855,앱코,17393768,//img.danawa.com/prod_img/500000/768/393/img/17393768_1.jpg?shrink=330:*&_v=20230502155839,CPU 쿨러,0.0,0.0,200,519,7,120,1,66,29.7,122,,154,,,,,2,2,202207,
쿨러마스터 HYPER 620S ARGB,39000,https://prod.danawa.com/info/?pcode=19690001&cate=11236855,쿨러마스터,19690001,//img.danawa.com/prod_img/500000/001/690/img/19690001_1.jpg?shrink=330:*&_v=20230407154257,CPU 쿨러,0.0,1.0,,7,3,120,2,71.93,27.2,125,,154.9,,,,,3,2,202304,
DEEPCOOL LS720 ARGB (BLACK),176630,https://prod.danawa.com/info/?pcode=17057594&cate=11236855,DEEPCOOL,17057594,//img.danawa.com/prod_img/500000/594/057/img/17057594_1.jpg?shrink=330:*&_v=20230627163401,CPU 쿨러,1.0,,,423,163,120,3,85.85,32.9,,,,3,402mm,27mm,410mm,579,5,202205,
DEEPCOOL AG620,48200,https://prod.danawa.com/info/?pcode=17450348&cate=11236855,DEEPCOOL,17450348,//img.danawa.com/prod_img/500000/348/450/img/17450348_1.jpg?shrink=330:*&_v=20220816105039,CPU 쿨러,0.0,1.0,260,423,3,120,2,67.88,29.4,129,,157,,,,,2,1,202207,
3RSYS Socoool RC1800 LITE (BLACK),54000,https://prod.danawa.com/info/?pcode=20360642&cate=11236855,3RSYS,20360642,//img.danawa.com/prod_img/500000/642/360/img/20360642_1.jpg?shrink=330:*&_v=20230531140257,CPU 쿨러,0.0,1.0,270,7,3,"130, 120",2,"85, 70.5",30,135,,156,,,,,2,3,202305,
이엠텍 레드빗 360 ARGB XT PENTA+,119710,https://prod.danawa.com/info/?pcode=17397248&cate=11236855,이엠텍,17397248,//img.danawa.com/prod_img/500000/248/397/img/17397248_1.jpg?shrink=330:*&_v=20230627160321,CPU 쿨러,1.0,,,295,7,120,3,53.8,35.6,,,,3,400mm,28mm,350mm,3,5+누수보상,202207,
PentaWave Z06D (BLACK),56040,https://prod.danawa.com/info/?pcode=18881600&cate=11236855,PentaWave,18881600,//img.danawa.com/prod_img/500000/600/881/img/18881600_1.jpg?shrink=330:*&_v=20230619180228,CPU 쿨러,0.0,1.0,270,423,3,120,2,86.5,32.6,125,,158,,,,,2,5,202301,
