name,price,link,company,product_seq,image,chipset_company,chipset,nm,base_clock,boost_clock,cuda_processor,stream_processor,interface,memory_type,memory_capacity,memory_clock,memory_bus,port,monitor_support,additional_function,usage_power,recommend_power,cooling_type,pan_number,length,thickness,pin,feature,as_years,bench_mark,reg_date,bookmark
이엠텍 지포스 RTX 4070 Ti GAMINGPRO D6X 12GB,1128990.0,https://prod.danawa.com/info/?pcode=18668606&cate=112753,이엠텍,18668606,//img.danawa.com/prod_img/500000/606/668/img/18668606_1.jpg?shrink=330:*&_v=20230105230006,NVIDIA,RTX 4070 Ti,4,2310,2610.0,7680.0,,PCIe4.0x16,GDDR6X(DDR6X),,21000.0,192.0,4,4.0,57,285.0,750.0,11,3.0,328.9,63.4,100,7,3.0,,202301,
이엠텍 지포스 RTX 4060 Ti STORM X Dual OC D6 8GB,565530.0,https://prod.danawa.com/info/?pcode=20274764&cate=112753,이엠텍,20274764,//img.danawa.com/prod_img/500000/764/274/img/20274764_1.jpg?shrink=330:*&_v=20230524215959,NVIDIA,RTX 4060 Ti,4,2310,2685.0,4352.0,,PCIe4.0x16(at x8),GDDR6(DDR6),,18000.0,128.0,4,4.0,185,160.0,650.0,9,2.0,249.9,40.1,10000,7,3.0,,202305,
갤럭시 GALAX 지포스 RTX 4070 EX GAMER WHITE OC D6X 12GB,844610.0,https://prod.danawa.com/info/?pcode=19773293&cate=112753,갤럭시,19773293,//img.danawa.com/prod_img/500000/293/773/img/19773293_1.jpg?shrink=330:*&_v=20230413215954,NVIDIA,RTX 4070,,1920,2535.0,5888.0,,PCIe4.0x16,GDDR6X(DDR6X),,21000.0,192.0,4,,9,215.0,600.0,11,3.0,323.0,48,10000,5,3.0,,202304,
이엠텍 지포스 RTX 3060 STORM X Dual OC D6 12GB,383300.0,https://prod.danawa.com/info/?pcode=13463144&cate=112753,이엠텍,13463144,//img.danawa.com/prod_img/500000/144/463/img/13463144_1.jpg?shrink=330:*&_v=20220711095454,NVIDIA,RTX 3060,8,,1837.0,3584.0,,PCIe4.0x16,GDDR6(DDR6),,15000.0,192.0,4,4.0,185,180.0,550.0,11,2.0,245.0,40,10000,7,3.0,,202102,
SAPPHIRE 라데온 RX 7600 PULSE OC D6 8GB,376190.0,https://prod.danawa.com/info/?pcode=20315144&cate=112753,SAPPHIRE,20315144,//img.danawa.com/prod_img/500000/144/315/img/20315144_1.jpg?shrink=330:*&_v=20230825095444,AMD(ATi),RX 7600,,,2754.0,,2048,PCIe4.0,GDDR6(DDR6),,18000.0,128.0,4,,57,,550.0,11,2.0,240.0,44.07,10000,1,3.0,,202305,
ZOTAC GAMING 지포스 RTX 4060 Ti TWIN Edge D6 8GB,555980.0,https://prod.danawa.com/info/?pcode=20308373&cate=112753,ZOTAC,20308373,//img.danawa.com/prod_img/500000/373/308/img/20308373_1.jpg?shrink=330:*&_v=20230524215959,NVIDIA,RTX 4060 Ti,4,,2535.0,4352.0,,PCIe4.0x16(at x8),GDDR6(DDR6),,18000.0,128.0,4,4.0,1,160.0,500.0,11,2.0,225.5,40.1,10000,5,3.0,,202305,
이엠텍 지포스 GTX 1660 SUPER MIRACLE II D6 6GB,249340.0,https://prod.danawa.com/info/?pcode=18767216&cate=112753,이엠텍,18767216,//img.danawa.com/prod_img/500000/216/767/img/18767216_1.jpg?shrink=330:*&_v=20230126172252,NVIDIA,GTX 1660 SUPER,12,1530,1785.0,1408.0,,PCIe3.0x16,GDDR6(DDR6),,14000.0,192.0,1028,3.0,312,125.0,450.0,11,2.0,220.0,45,10000,1,3.0,,202301,
ASUS DUAL 지포스 RTX 4060 O8G OC D6 8GB,429720.0,https://prod.danawa.com/info/?pcode=20696243&cate=112753,ASUS,20696243,//img.danawa.com/prod_img/500000/243/696/img/20696243_1.jpg?shrink=330:*&_v=20230711103226,NVIDIA,RTX 4060,4,,2535.0,3072.0,,PCIe4.0,GDDR6(DDR6),,17000.0,128.0,4,4.0,155,,550.0,9,2.0,227.2,49.6,10000,1,3.0,,202306,
이엠텍 지포스 RTX 4060 STORM X Dual OC D6 8GB,431470.0,https://prod.danawa.com/info/?pcode=27161939&cate=112753,이엠텍,27161939,//img.danawa.com/prod_img/500000/939/161/img/27161939_1.jpg?shrink=330:*&_v=20230807125840,NVIDIA,RTX 4060,4,1830,2670.0,3072.0,,PCIe4.0x16(at x8),GDDR6(DDR6),,17000.0,128.0,4,4.0,185,115.0,600.0,11,2.0,249.9,40.2,10000,5,,,202308,
GIGABYTE 지포스 RTX 3060 Ti Gaming OC D6X 8GB 피씨디렉트,528090.0,https://prod.danawa.com/info/?pcode=18713942&cate=112753,GIGABYTE,18713942,//img.danawa.com/prod_img/500000/942/713/img/18713942_1.jpg?shrink=330:*&_v=20230110131820,NVIDIA,RTX 3060 Ti,8,1755,,4864.0,,PCIe4.0x16,GDDR6X(DDR6X),,19000.0,256.0,4,4.0,57,,750.0,11,3.0,286.0,59,20000,5,3.0,,202301,
