name,price,link,company,product_seq,image,generation,capacity,clock,timing,number,ecc,xmp,expo,heatsink,heatsink_color,led,led_color,reg_date,bookmark
삼성전자 DDR4-3200,39810.0,https://prod.danawa.com/info/?pcode=11790199&cate=112752,삼성전자,11790199,//img.danawa.com/prod_img/500000/199/790/img/11790199_1.jpg?shrink=330:*&_v=20220829160120,DDR4,16,3200MHz (PC4-25600),,1,,,0,0,,0,,202007,
TeamGroup DDR5-5600 CL46 Elite 서린,54872.0,https://prod.danawa.com/info/?pcode=17535839&cate=112752,TeamGroup,17535839,//img.danawa.com/prod_img/500000/839/535/img/17535839_1.jpg?shrink=330:*&_v=20220726132209,DDR5,16,5600MHz (PC5-44800),CL46-46-46-90,1,2.0,,0,0,,0,,202207,
마이크론 Crucial DDR5-5600 CL46 PRO 패키지 대원씨티에스,111680.0,https://prod.danawa.com/info/?pcode=20369066&cate=112752,마이크론,20369066,//img.danawa.com/prod_img/500000/066/369/img/20369066_1.jpg?shrink=330:*&_v=20230601090205,DDR5,32,5600MHz (PC5-44800),CL46-45-45,2,2.0,2.0,1,1,블랙,0,,202305,
마이크론 Crucial DDR4-3200 CL22 대원씨티에스,19390.0,https://prod.danawa.com/info/?pcode=20369102&cate=112752,마이크론,20369102,//img.danawa.com/prod_img/500000/102/369/img/20369102_1.jpg?shrink=330:*&_v=20230531161018,DDR4,8,3200MHz (PC4-25600),CL22,1,,,0,0,,0,,202001,
OLOy DDR5-6000 CL32 BLADE RGB MIRROR 패키지,190970.0,https://prod.danawa.com/info/?pcode=17770829&cate=112752,OLOy,17770829,//img.danawa.com/prod_img/500000/829/770/img/17770829_1.jpg?shrink=330:*&_v=20230412153957,DDR5,32,6000MHz (PC5-48000),CL32-38-38-76,2,2.0,,0,1,실버/그레이,1,RGB,202209,
삼성전자 DDR5-5600,51880.0,https://prod.danawa.com/info/?pcode=18911780&cate=112752,삼성전자,18911780,//img.danawa.com/prod_img/500000/780/911/img/18911780_1.jpg?shrink=330:*&_v=20230202143725,DDR5,16,5600MHz (PC5-44800),,1,,,0,0,,0,,202302,
G.SKILL DDR5-6000 CL36 TRIDENT Z5 RGB J 패키지,158480.0,https://prod.danawa.com/info/?pcode=16193474&cate=112752,G.SKILL,16193474,//img.danawa.com/prod_img/500000/474/193/img/16193474_1.jpg?shrink=330:*&_v=20230627163451,DDR5,32,6000MHz (PC5-48000),CL36-36-36-96,2,2.0,2.0,0,1,블랙,1,RGB,202201,
G.SKILL DDR5-6000 CL36 TRIDENT Z5 RGB 화이트 패키지,159000.0,https://prod.danawa.com/info/?pcode=21639443&cate=112752,G.SKILL,21639443,//img.danawa.com/prod_img/500000/443/639/img/21639443_1.jpg?shrink=330:*&_v=20230719181019,DDR5,32,6000MHz (PC5-48000),CL36-36-36-96,2,2.0,2.0,0,1,화이트,1,RGB,202307,
SK하이닉스 DDR5-5600,160640.0,https://prod.danawa.com/info/?pcode=18700841&cate=112752,SK하이닉스,18700841,//img.danawa.com/prod_img/500000/841/700/img/18700841_1.jpg?shrink=330:*&_v=20230220163645,DDR5,32,5600MHz (PC5-44800),,1,,,0,0,,0,,202301,
TeamGroup T-Force DDR5-6000 CL38 Delta RGB 화이트 패키지,147875.0,https://prod.danawa.com/info/?pcode=16443341&cate=112752,TeamGroup,16443341,//img.danawa.com/prod_img/500000/341/443/img/16443341_1.jpg?shrink=330:*&_v=20230329151332,DDR5,32,6000MHz (PC5-48000),CL38-38-38-78,2,2.0,2.0,0,1,화이트,1,RGB,202202,
마이크론 Crucial DDR5-5600 CL46 대원씨티에스,46290.0,https://prod.danawa.com/info/?pcode=20369126&cate=112752,마이크론,20369126,//img.danawa.com/prod_img/500000/126/369/img/20369126_1.jpg?shrink=330:*&_v=20230531161105,DDR5,16,5600MHz (PC5-44800),CL46-45-45,1,2.0,,0,0,,0,,202212,
TeamGroup DDR5-5200 CL42 Elite 서린,124600.0,https://prod.danawa.com/info/?pcode=18767360&cate=112752,TeamGroup,18767360,//img.danawa.com/prod_img/500000/360/767/img/18767360_1.jpg?shrink=330:*&_v=20230116144057,DDR5,16,5200MHz (PC5-41600),CL42-42-42-84,1,,,0,0,,0,,202301,
삼성전자 DDR5-4800,100000.0,https://prod.danawa.com/info/?pcode=15764342&cate=112752,삼성전자,15764342,//img.danawa.com/prod_img/500000/342/764/img/15764342_1.jpg?shrink=330:*&_v=20220719161848,DDR5,32,4800MHz (PC5-38400),,1,,,0,0,,0,,202111,
ESSENCORE KLEVV DDR5-6000 CL30 BOLT V 패키지 서린,,https://prod.danawa.com/info/?pcode=27894470&cate=112752,ESSENCORE,27894470,//img.danawa.com/prod_img/500000/470/894/img/27894470_1.jpg?shrink=330:*&_v=20230830155137,DDR5,32,6000MHz (PC5-48000),CL30-36-36-76,2,2.0,2.0,1,1,블랙,0,,202308,
G.SKILL DDR5-6400 CL32 TRIDENT Z5 RGB J 패키지,338000.0,https://prod.danawa.com/info/?pcode=18036602&cate=112752,G.SKILL,18036602,//img.danawa.com/prod_img/500000/602/036/img/18036602_1.jpg?shrink=330:*&_v=20230111103648,DDR5,64,6400MHz (PC5-51200),CL32-39-39-102,2,2.0,2.0,0,1,블랙,1,RGB,202210,
GeIL DDR5-6000 CL38 POLARIS RGB Gray 패키지,154990.0,https://prod.danawa.com/info/?pcode=19539860&cate=112752,GeIL,19539860,//img.danawa.com/prod_img/500000/860/539/img/19539860_1.jpg?shrink=330:*&_v=20230328170626,DDR5,32,6000MHz (PC5-48000),CL38-40-40-82,2,2.0,2.0,1,1,실버/그레이,1,RGB,202303,
타무즈 DDR4-3200 CL22,31140.0,https://prod.danawa.com/info/?pcode=13137290&cate=112752,타무즈,13137290,//img.danawa.com/prod_img/500000/290/137/img/13137290_1.jpg?shrink=330:*&_v=20211028143433,DDR4,16,3200MHz (PC4-25600),CL22-22-22-52,1,,,0,0,,0,,202101,
ADATA DDR5-5600 CL46,57990.0,https://prod.danawa.com/info/?pcode=27940799&cate=112752,ADATA,27940799,//img.danawa.com/prod_img/500000/799/940/img/27940799_1.jpg?shrink=330:*&_v=20230901090501,DDR5,16,5600MHz (PC5-44800),CL46-45-45,1,2.0,,0,0,,0,,202309,
PATRIOT DDR5-5600 CL46 SIGNATURE,110330.0,https://prod.danawa.com/info/?pcode=19391135&cate=112752,PATRIOT,19391135,//img.danawa.com/prod_img/500000/135/391/img/19391135_1.jpg?shrink=330:*&_v=20230316130916,DDR5,32,5600MHz (PC5-44800),CL46-46-46-90,1,2.0,,0,0,,0,,202303,
ESSENCORE KLEVV DDR5-5600 CL46,55380.0,https://prod.danawa.com/info/?pcode=18965774&cate=112752,ESSENCORE,18965774,//img.danawa.com/prod_img/500000/774/965/img/18965774_1.jpg?shrink=330:*&_v=20230208132437,DDR5,16,5600MHz (PC5-44800),CL46-46-46-90,1,2.0,,0,0,,0,,202302,
삼성전자 DDR3-1600 중고,15790.0,https://prod.danawa.com/info/?pcode=5549101&cate=112752,삼성전자,5549101,//img.danawa.com/prod_img/500000/101/549/img/5549101_1.jpg?shrink=330:*&_v=20210409101246,DDR3,8,1600MHz (PC3-12800),,1,,,0,0,,0,,201710,
G.SKILL DDR4-3600 CL18 TRIDENT Z RGB 패키지,116253.0,https://prod.danawa.com/info/?pcode=11431083&cate=112752,G.SKILL,11431083,//img.danawa.com/prod_img/500000/083/431/img/11431083_1.jpg?shrink=330:*&_v=20200821131607,DDR4,32,3600MHz (PC4-28800),CL18-22-22-42,2,,1.0,0,1,블랙,1,RGB,202005,
