name,count
GeForce RTX 4090,38968
GeForce RTX 4080,34841
Radeon PRO W7800,32146
GeForce RTX 4070 Ti,31652
Radeon RX 7900 XTX,31173
Radeon PRO W7900,30892
GeForce RTX 3090 Ti,29842
Radeon RX 7900 XT,29074
GeForce RTX 4090 Laptop GPU,29020
Radeon RX 6950 XT,28636
Radeon RX 7900 GRE,27453
GeForce RTX 3080 Ti,27348
Radeon RX 6900 XT,26969
GeForce RTX 3090,26930
GeForce RTX 4070,26902
GeForce RTX 3080 12GB,26753
GeForce RTX 4080 Laptop GPU,26528
GeForce RTX 3080,25366
Radeon RX 6800 XT,25192
Radeon RX 7800 XT,24561
RTX 4000 Ada Generation Laptop GPU,23950
GeForce RTX 3070 Ti,23773
RTX A5000,23099
RTX A6000,22772
RTX 6000 Ada Generation,22718
GeForce RTX 4060 Ti 16GB,22573
GeForce RTX 4060 Ti,22560
GeForce RTX 3070,22486
Radeon RX 6800,22374
NVIDIA A10,22064
GeForce RTX 2080 Ti,21861
RTX A4500,21619
RTX 5000 Ada Generation Laptop GPU,21349
RTX 4000 SFF Ada Generation,21300
Radeon RX 6750 XT,21147
Quadro GV100,20600
GeForce RTX 3060 Ti,20590
GeForce RTX 3080 Ti Laptop GPU,20349
RTX 3500 Ada Generation Laptop GPU,20313
RTX A5500,20123
TITAN RTX,19912
Radeon RX 7700 XT,19890
Radeon RX 6700 XT,19879
TITAN V,19852
Radeon PRO W6800,19769
GeForce RTX 4070 Laptop GPU,19703
GeForce RTX 2080 SUPER,19597
Radeon PRO W7600,19589
Quadro RTX 8000,19402
TITAN Xp COLLECTORS EDITION,19356
GeForce RTX 4060,19329
RTX A4000,19280
Quadro RTX 6000,19233
Radeon RX 6700,18860
GeForce RTX 2080,18812
NVIDIA TITAN Xp,18679
GeForce GTX 1080 Ti,18526
GeForce RTX 3070 Ti Laptop GPU,18390
GeForce RTX 4060 Laptop GPU,18305
NVIDIA A10G,18293
GeForce RTX 2070 SUPER,18264
Radeon RX 6850M XT,18236
A40-48Q,17864
RTX A5500 Laptop GPU,17839
RTX A4500 Laptop GPU,17608
Radeon Pro W5700X,17591
Radeon RX 6650 XT,17513
Radeon RX 7700S,17479
GeForce RTX 3060,17144
TITAN V CEO Edition,16988
Radeon RX 5700 XT,16852
Radeon VII,16766
Radeon RX 7600,16661
Radeon RX 5700 XT 50th Anniversary,16641
GeForce RTX 3080 Laptop GPU,16610
GeForce RTX 2060 SUPER,16585
Radeon RX 6600 XT,16456
Tesla V100-SXM2-16GB,16235
GeForce RTX 2070,16173
Radeon PRO W6600,16143
Quadro RTX 5000,16101
Radeon Pro Vega II Duo,15977
Miracast display port driver V3,15910
RTX A5000 Laptop GPU,15861
Radeon PRO W7500,15831
GeForce RTX 2060 12GB,15825
Radeon Pro Vega II,15668
Quadro P6000,15619
RTX A4000 Laptop GPU,15611
Quadro GP100,15608
GeForce RTX 3070 Laptop GPU,15545
Radeon RX 6800S,15537
Radeon Pro W5700,15494
GeForce GTX 1080,15485
Radeon Pro VII,15441
Quadro RTX 4000,15440
RTX 2000 Ada Generation Laptop GPU,15380
Radeon RX 7600M XT,15347
Radeon RX 6600,15150
GeForce RTX 2080 (Mobile),15107
GeForce RTX 4050 Laptop GPU,15089
Radeon RX 6600S,14897
Quadro RTX 5000 (Mobile),14832
Radeon RX 6700S,14798
GeForce GTX 1070 Ti,14715
RTX A3000 12GB Laptop GPU,14691
Radeon RX 5700,14660
Radeon Pro Vega 64X,14631
Radeon RX Vega 64,14519
RadeonT RX 6850M XT,14146
GeForce RTX 2060,14113
Radeon Pro WX 8200,13926
GeForce RTX 2070 Super with Max-Q Design,13911
GeForce GTX 980 Ti,13834
GeForce RTX 2080 Super with Max-Q Design,13827
RTX A2000,13822
Radeon RX 5600 XT,13786
NVIDIA TITAN X,13660
Quadro RTX 5000 with Max-Q Design,13585
Radeon RX 6600M,13577
Radeon RX 6650M,13566
RTX A2000 12GB,13559
GeForce GTX 1070,13509
Radeon RX Vega 56,13465
Radeon Vega Frontier Edition,13417
GeForce RTX 3060 Laptop GPU,13403
Radeon RX 6700M,13283
Radeon Pro WX 9100,13192
GeForce RTX 2080 with Max-Q Design,13190
Intel d gfx-driver-ci-master-14429 DCH RI,13174
Radeon PRO W6600X,13113
GeForce GTX TITAN X,13058
Radeon RX 6800M,13037
Radeon RX 7600S,13011
GeForce RTX 3050,12971
GeForce GTX 1660 Ti,12961
Radeon Pro Vega 64,12919
GeForce GTX 1660 SUPER,12793
Radeon RX 5600 OEM,12738
Radeon Pro 5700 XT,12690
Tesla P40,12683
Tesla T10,12650
Quadro P5200,12631
Quadro P5200 with Max-Q Design,12608
Quadro RTX 4000 with Max-Q Design,12533
RTX A3000 Laptop GPU,12498
Quadro RTX 4000 (Mobile),12494
GeForce RTX 2070 (Mobile),12354
Radeon Pro Vega 56,12354
Radeon RX 6850M,12274
Radeon Pro V520 MxGPU,12258
Quadro P5000,12227
GeForce RTX 3050 OEM,12091
GeForce RTX 2070 with Max-Q Design,11900
Radeon Pro 5700,11844
Quadro M6000,11796
Quadro M6000 24GB,11787
GeForce GTX 1660,11724
Quadro P4000,11641
GeForce GTX 1080 with Max-Q Design,11571
Radeon RX 5600,11471
GeForce RTX 2060 (Mobile),11355
Radeon Pro Vega 48,11300
Quadro RTX 3000,11133
GeForce GTX 980,11131
CMP 40HX,11072
RTX A1000 Embedded GPU,11047
GRID P40-12Q,11028
Quadro P4200 with Max-Q Design,11020
RTX A2000 8GB Laptop GPU,10929
GeForce RTX 3050 6GB Laptop GPU,10851
Tesla T4,10693
Radeon Pro SSG,10498
Tesla M40 24GB,10475
GeForce GTX 1070 (Mobile),10465
Quadro P4200,10266
GeForce GTX 1660 Ti (Mobile),10202
Tesla M40,10183
GeForce RTX 3050 Ti Laptop GPU,10160
GeForce GTX 1650 SUPER,10113
RTX A1000 6GB Laptop GPU,10101
GeForce GTX 1060,10072
Radeon R9 Fury X,10062
GeForce GTX 1070 with Max-Q Design,10051
RTX A2000 Laptop GPU,10029
NVIDIA A40,9983
GRID P40-2B,9842
GeForce RTX 2060 with Max-Q Design,9803
GeForce GTX 1060 3GB,9751
Radeon R9 Fury + Fury X,9741
GeForce GTX 970,9642
Radeon R9 Fury,9618
Radeon RX 590,9533
Radeon RX 6500 XT,9507
RTX A1000 Laptop GPU,9495
GeForce GTX 780 Ti,9475
Radeon Ryzen 9 4900HSS,9461
Radeon R9 390X,9447
Intel Arc Pro A60,9409
GeForce RTX 3050 Laptop GPU,9389
Quadro P2200,9383
Radeon Pro 5600M,9381
Quadro M5000,9371
Quadro P3200 with Max-Q Design,9247
Radeon RX 5500 XT,9183
Radeon Pro W5500,9122
GRID P40-2B4,9111
Quadro P4000 with Max-Q Design,9083
Quadro P3200,9061
Tesla P4,9032
GeForce GTX TITAN Black,9011
Radeon R9 390,9000
GeForce GTX TITAN Z,8987
GRID P40-8Q,8967
GeForce GTX 1060 5GB,8946
Radeon RX 580,8910
Radeon RX 5500,8835
Intel Arc A770,8791
Radeon RX 480,8673
GeForce GTX 1660 Ti with Max-Q Design,8660
Radeon R9 290X,8660
Radeon R9 295X2,8638
Radeon RX590 GME,8569
Quadro RTX 3000 with Max-Q Design,8507
GRID RTX6000-1B,8473
Radeon R9 290X / 390X,8389
Ryzen 5 4600HS with Radeon Graphics,8371
Radeon R9 290,8367
Radeon Pro Duo,8296
Radeon Pro 5500 XT,8264
Intel Arc A750,8261
Tesla V100-PCIE-32GB,8260
Radeon RX 5600M,8219
GeForce GTX Titan,8200
GeForce GTX 1060 (Mobile),8161
Radeon R9 290 / 390,8150
Radeon RX 470/570,8050
Quadro K6000,8044
GeForce GTX 780,8026
Ryzen 9 6900HS,8005
Radeon PRO W6400,7991
Radeon RX 6500M,7939
FirePro W9100,7928
Radeon Pro WX 7100,7922
GeForce GTX 1060 with Max-Q Design,7922
Quadro M5500,7915
GeForce GTX 1650,7858
Radeon RX 580X,7798
T1200 Laptop GPU,7792
Tesla M60,7771
Radeon RX 580 2048SP,7753
Radeon Pro 580,7753
T1000,7654
Radeon RX 5300,7652
T1000 8GB,7585
GeForce GTX 1650 Ti,7556
Radeon Pro 580X,7540
Tesla M6,7509
Radeon RX 6400,7454
GeForce GTX 980M,7379
FirePro W8100,7279
Radeon Pro 5300,7230
Tesla P100-PCIE-16GB,7225
Radeon 780M,7221
Radeon Ryzen 9 4900HS,7186
Quadro T2000,7138
GeForce RTX 3050 4GB Laptop GPU,7103
T600 Laptop GPU,7069
RadeonT 780M,7067
A10-8Q,7042
Quadro M5000M,7031
GeForce RTX 2050,7023
Ryzen 7 4800HS with Radeon Graphics,6999
GeForce GTX 1650 (Mobile),6969
Radeon Pro W5500X,6967
RTX A500 Laptop GPU,6956
Intel Arc A770M,6955
Quadro P2000,6925
Quadro T2000 with Max-Q Design,6913
Ryzen 7 6800HS with Radeon Graphics,6867
Radeon Ryzen 9 6900HS,6861
Radeon Pro 5500M,6817
Radeon RX 6500,6802
GeForce GTX 970XM FORCE,6707
Radeon R9 285,6680
Quadro T1000 with Max-Q Design,6675
Quadro M4000,6661
Radeon Ryzen 7 6800HS,6657
Quadro P3000,6622
Quadro T1000,6612
Radeon RX Vega M GH,6581
Radeon Pro WX 7130,6578
T600,6481
AMD Ryzen Z1 Extreme,6461
GeForce GTX 1650 Ti with Max-Q Design,6390
Radeon Pro 570,6337
Ryzen 9 6900HS with Radeon Graphics,6331
GeForce GTX 1050 Ti,6302
Radeon R9 380X,6242
Radeon R9 280X,6241
Quadro M4000M,6239
Radeon R9 380,6229
Radeon 680M Ryzen 7 7735HS,6180
FirePro W9000,6138
P106-100,6106
GeForce GTX 1650 with Max-Q Design,6103
GeForce MX570 A,6069
Radeon Ryzen 9 7950X 16-Core,6067
GeForce MX570,6040
GeForce GTX 960,6039
Quadro K5200,6015
Radeon Pro 5300M,5986
GRID P100-16Q,5945
Tesla K80,5940
GeForce GTX 1050 Ti (Mobile),5919
GeForce GTX 770,5901
Ryzen 9 PRO 6950H with Radeon Graphics,5828
A16,5797
Ryzen 9 PRO 6950H,5759
Radeon Ryzen 7 PRO 6850H,5750
GeForce GTX 970M,5724
Radeon Ryzen 7 7736U,5688
Radeon PRO Ryzen 7 PRO 6850U,5678
Radeon Pro WX 5100,5653
Radeon Ryzen 7 7735H,5626
Ryzen 9 5900HS with Radeon Graphics,5612
Radeon R9 280,5596
Ryzen 7 PRO 6850U,5581
NVIDIA A40-12Q,5573
Radeon Ryzen 7 6800H,5566
Radeon HD 7990,5566
Radeon R9 285 / 380,5550
GeForce GTX 680,5537
GRID M60-8A,5523
GeForce GTX 690,5515
Quadro M3000M,5499
GeForce GTX 760 Ti OEM,5427
Ryzen 9 6900HX,5416
Radeon Ryzen 7 6800HS Creator Edition,5373
Radeon RX 5500M,5365
GRID P40-4Q,5365
GeForce GTX 1050 Ti with Max-Q Design,5361
GeForce GTX 950,5345
Ryzen 7 6800HS Creator Edition,5345
FirePro W7100,5321
GeForce GTX 670,5308
Ryzen 7 7735HS with Radeon Graphics,5307
Radeon Ryzen 7 7735HS,5302
Radeon Pro Vega 20,5264
Radeon Ryzen 9 6900HX,5264
Radeon 760M,5261
Radeon HD 7970 / R9 280X,5248
Ryzen 7 6800H,5248
Ryzen 7 6800HS,5237
Intel Arc Pro A40/A50,5224
Radeon HD 8990,5214
GRID M60-2Q,5203
Radeon Ryzen 7 PRO 6850HS,5166
Q12U-1,5164
Radeon Ryzen 7 PRO 6850U,5152
Radeon R9 M295X,5150
GeForce GTX 760 Ti,5145
Quadro P2000 with Max-Q Design,5132
GeForce GTX 1050 3GB,5116
Ryzen 7 PRO 6860Z,5077
