name,usage,image
한컴오피스 2022,사무,https://www.hancom.com/img/renew/logo_new.png
Microsoft 365,사무,https://microsoft365.gabia.com/assets/images/logo_microsoft365.png
Office 2019,사무,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Microsoft_Office_2013-2019_logo_and_wordmark.svg/200px-Microsoft_Office_2013-2019_logo_and_wordmark.svg.png
Office 2021,사무,https://i.pinimg.com/564x/71/70/a2/7170a24a3e9fb2d6ae8480385c733c83.jpg
4k 영상 시청,사무,https://img.freepik.com/premium-vector/4k-ultra-hd-symbol-high-definition-4k-resolution-mark-uhd_268834-360.jpg
인터넷 서핑,사무,https://static.thenounproject.com/png/249243-200.png
Visual Studio 2022,개발,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Visual_Studio_Icon_2022.svg/193px-Visual_Studio_Icon_2022.svg.png
Visual Studio Code,개발,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Visual_Studio_Code_1.35_icon.svg/75px-Visual_Studio_Code_1.35_icon.svg.png
PyCharm,개발,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/PyCharm_Icon.svg/64px-PyCharm_Icon.svg.png
Eclipse IDE,개발,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Eclipse-Luna-Logo.svg/256px-Eclipse-Luna-Logo.svg.png
IntelliJ IDEA,개발,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/IntelliJ_IDEA_Icon.svg/120px-IntelliJ_IDEA_Icon.svg.png
Android Studio,개발,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Android_Studio_Trademark.svg/200px-Android_Studio_Trademark.svg.png
