,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,name,cpu,ram,gpu,dx,os,sto,spec_class
0,0,0,0,0,0,0,A Bird Story,> Intel Pentium III 800 MHz,2 GB RAM,1024x768 High Color +,Version 9.0c,"XP, Vista, 7, 8",200 MB available space,0
1,1,1,1,1,1,1,A Blind Legend,Dual Core CPU,1 GB RAM,generally everything made since 2004 should work.,Version 9.0,Windows XP SP2+,400 MB available space,0
2,2,2,2,2,2,2,A Boy and His Blob,"AMD Athlon 64 X2 Dual Core Processor 4600+, 2.4GHz / Intel Pentium D 805 2.66GHz or higher",1 GB RAM,NVIDIA GeForce 9600 GT 512 MB / ATI Radeon HD 4650 1GB or higher | Shader Model 3+,,Windows 7-32Bit or Windows 8-32Bit,3 GB available space,0
3,3,3,3,3,3,3,A Boy and His Blob,AMD Athlon 7850 Dual Core Processor 2.8GHz / Intel Core 2 Duo E7500 2.93 GHz,2 GB RAM,NVIDIA GeForce 9600 GT 1GB / ATI Radeon HD 4650 1GB  | Shader Model 3+,,Windows 7-64Bit or Windows 8-64Bit,3 GB available space,1
4,4,4,4,4,4,4,A City Sleeps,Intel Core2 Duo 3.00GHz,2 GB RAM,ATI Radeon 2400,9.0c,Windows 7 / 8,,0
5,5,5,5,5,5,5,A Farewell to Dragons,1.5 GHz,512 MB,nVidia GeForce FX 5700 or ATI Radeon 9600 with 128 MB of memory,,Windows 2000/XP,3 GB of free hard drive space,0
6,6,6,6,6,6,6,A Farewell to Dragons,2.4 GHz,1 GB,nVidia GeForce 6800 or ATI Radeon 9800,,Windows 2000/XP,3 GB of free hard drive space,1
7,7,7,7,7,7,7,A Fistful of Gun,Dual Core 1.8 Ghz,2 GB RAM,(Any),Version 9.0,Windows XP or later,600 MB available space,0
8,8,8,8,8,8,8,A Game of Thrones: Genesis,AMD/INTEL DUAL-CORE 2.2 GHZ ,1024 MB (XP) / 2048 MB (VISTA/7) ,256 MB 100% DIRECTX 9 AND SHADERS 3.0 COMPATIBLE. ATI RADEON X1600 XT/INTEL HD/NVIDIA GEFORCE 6600 GT OR HIGHER,DirectX® 9,WINDOWS XP SP2/VISTA SP1/WINDOWS 7,10 GB,0
9,9,9,9,9,9,9,A Game of Thrones: The Board Game - Digital Edition,Intel Pentium D or AMD Athlon 64 X2,2 GB RAM,Graphics card with DX11 or OpenGL 3.x capabilities,Version 11,"Windows 7, Windows 8.1, Windows 10 (64bit version only)",1 GB available space,0
10,10,10,10,10,10,10,A Game of Thrones: The Board Game - Digital Edition,Intel Core 2 Duo E6600 or AMD Athlon 64 X2 5000+ or better,4 GB RAM,Graphics card with DX11 or OpenGL 3.x capabilities,Version 11,Windows 10 (64bit version only),1 GB available space,1
11,11,11,11,11,11,11,A Gummy's Life,Intel® Core™ i3,2 GB RAM,NVIDIA® GeForce GTX 740,Version 11,Windows 7 (64-bit),1 GB available space,0
12,12,12,12,12,12,12,A Gummy's Life,Intel® Core™ i5-6500 3.2 Ghz,4 GB RAM,NVIDIA® GeForce GTX 960,Version 11,Windows 10 (64-bit),1 GB available space,1
13,13,13,13,13,13,13,A Hat in Time,3.0 GHz processor,4 GB RAM,(Any),Version 9.0c,Windows XP SP3 / Windows Vista / Windows 7 / Windows 8 / Windows 10 64-bit only,8 GB available space,0
14,14,14,14,14,14,14,A Hat in Time,3.5 GHz processor,8 GB RAM,(Any),Version 9.0c,Windows 7 / Windows 8 / Windows 10 64-bit only,8 GB available space,1
15,15,15,15,15,15,15,A Hole New World,"1,60 Ghz Intel Atom",1 GB RAM,OpenGL 3.0 compliant video card,,Windows XP SP3 (or later),950 MB available space,0
16,16,16,16,16,16,16,A House of Many Doors,(Any),4 GB RAM,(Any),Version 9.0,"Windows XP, Vista, 7, 8, 10",400 MB available space,0
17,17,17,17,17,17,17,A House of Many Doors,2GHz+,4 GB RAM,512MB,Version 9.0,"Windows XP, Vista, 7, 10",400 MB available space,1
18,18,18,18,18,18,18,A Juggler's Tale,Intel Core 2 Quad Q6600,4 GB RAM,NVIDIA Geforce GTX 660 / Radeon HD7870,Version 11,Windows 7+ (64-bit OS required),3 GB available space,0
19,19,19,19,19,19,19,A Juggler's Tale,Intel Core i5-6600K,8 GB RAM,NVIDIA Geforce GTX 980 / Radeon 5300,Version 11,Windows 7+ (64-bit OS required),3 GB available space,1
20,20,20,20,20,20,20,A Knight's Quest,Intel Core i3-2100 (2 * 3100) or equivalent / AMD Athlon II X4 645 AM3 (4 * 3100) or equivalent,4 GB RAM,GeForce GTX 550 Ti (1024 MB) or Radeon HD 6850 (1024 MB) or Intel Iris Pro 5200,,"Windows 7, 8, 8.1, 10 x 64 (Requires a 64-bit processor and operating system)",15 GB available space,0
21,21,21,21,21,21,21,A Knight's Quest,Intel Core i5-6600K (4 * 3500) or equivalent / AMD Ryzen 3 2200G (4 * 3500) or equivalent,8 GB RAM,GeForce GTX 960 (4096 MB) or Radeon R9 285 (2048 MB),,"Windows 7, 8, 8.1, 10 x 64 (Requires a 64-bit processor and operating system)",15 GB available space,1
22,22,22,22,22,22,22,A Memoir Blue,Intel Core i3-4130 | AMD FX-8350,6 GB RAM,NVIDIA GeForce GTX 650 Ti 2 GB | AMD Radeon RX 460 2 GB,,"Windows 10, 64-bit",4 GB available space,0
23,23,23,23,23,23,23,A Memoir Blue,Intel Core i5-3470 | AMD Ryzen 3 1200,8 GB RAM,NVIDIA GeForce GTX 1060 6 GB | AMD Radeon RX 5600 XT 6 GB,,"Windows 10, 64-bit",4 GB available space,1
24,24,24,24,24,24,24,A Mesterlövész,"Pentium II  350Mhz
",64 MB RAM,AGP 3D grafikus kártya gyorsítóval,,Windows 98/2000/XP/ME,"1,2 GB Hard Drive",0
25,25,25,25,25,25,25,A New Beginning,"2GHz Single Core / 1,8GHz Dual Core","1GB RAM (Vista/7: 1,5GB RAM)","OpenGL 2.0-compatible, min. 256 MB graphics memory (ATI Radeon or Nvidia Geforce recommended)",DirectX9.0c,Windows 2000/XP/Vista/7,"3,5 free disk space",0
26,26,26,26,26,26,26,A Normal Lost Phone,(Any),4 GB RAM,(Any),,Windows 7+,250 MB available space,0
27,27,27,27,27,27,27,A Pixel Story,Intel Core 2 Duo 2.4ghz or equivalent,2 GB RAM,"Shader Model 3.0, 3rd Generation Intel Core HD Graphics (2500/4000)",Version 9.0c,Windows XP SP3,1500 MB available space,0
28,28,28,28,28,28,28,A Plague Tale: Innocence,Intel Core i3-2120 (3.3 GHz)/AMD FX-4100 X4 (3.6 GHz),8 GB RAM,"2 GB, GeForce GTX 660/Radeon HD 7870",,Windows 7/8/10 (64 bits),50 GB available space,0
29,29,29,29,29,29,29,A Plague Tale: Innocence,Intel Core i5-4690 (3.5 GHz)/AMD FX-8300 (3.3 GHz),16 GB RAM,"4 GB, GeForce GTX 970/Radeon RX 480",,Windows 7/8/10 (64 bits),50 GB available space,1
30,30,30,30,30,30,30,A Plague Tale: Requiem,Intel Core i5-4690k (3.5 GHz) / AMD FX-8300 (3.3 GHz),16 GB,"4 GB, GeForce GTX 970 / Radeon RX 590",Directx 12 (Level 12 and Shader Model 6.0 are needed),Windows 10 (20H1 64-bit),55 GB available space,0
31,31,31,31,31,31,31,A Plague Tale: Requiem,Intel Core i7-8700k (3.7 GHz) / AMD Ryzen 5 3600 (3.6 GHz),16 GB,"8 GB, GeForce RTX 3070 / Radeon RX 6800 XT",Directx 12 (Level 12 and Shader Model 6.0 are needed),Windows 10 (20H1 64-bit),55 GB available space (SSD storage is recommended),1
32,32,32,32,32,32,32,A Quiver of Crows,Dual-core 2.2 GHz,2 GB RAM,NVIDIA GeForce GTX 260 / ATI Radeon 4870 HD / Intel HD 4600 / or equivalent with at least 512 MB VRAM,,Windows Vista,250 MB available space,0
33,33,33,33,33,33,33,A Quiver of Crows,Dual-core 2.4 GHz,4 GB RAM,Equivalent of GeForce 9800 GTX / Radeon HD 5000 / Intel HD 5200,,Windows 8.1 or 10,250 MB available space,1
34,34,34,34,34,34,34,A Rat's Quest - The Way Back Home,Intel Core i5 / AMD FX-6300,6 GB RAM,GTX 650 Ti 1GB/ Radeon 6950 1GB or better,,Windows 10 64bits,8 GB available space,0
35,35,35,35,35,35,35,A Rip In Time,Intel Core i3-4340 / AMD FX-6300,6 GB RAM,nVidia GeForce GTX 660 2GB / AMD Radeon HD 7850 2GB,,"64-bit Windows 7, Windows 8.1, Windows 10",30 GB available space,0
