program_id,cpu_id,gpu_id,ram,dx,storage,os,spec_class
1,400,,2,Version 9.0c,0.2,"XP, Vista, 7, 8",0
2,424,,1,Version 9.0,0.4,Windows XP SP2+,0
3,400,200.0,1,,3,Windows 7-32Bit or Windows 8-32Bit,0
3,374,200.0,2,,3,Windows 7-64Bit or Windows 8-64Bit,1
4,250,200.0,2,9.0c,,Windows 7 / 8,0
5,400,1185.0,0.5,,3,Windows 2000/XP,0
5,209,1127.0,1,,3,Windows 2000/XP,1
6,424,,2,Version 9.0,0.6,Windows XP or later,0
7,259,200.0,2.0,DirectX® 9,10,WINDOWS XP SP2/VISTA SP1/WINDOWS 7,0
8,356,1153.0,2,Version 11,1,"Windows 7, Windows 8.1, Windows 10 (64bit version only)",0
8,361,1153.0,4,Version 11,1,Windows 10 (64bit version only),1
9,162,123.0,2,Version 11,1,Windows 7 (64-bit),0
9,309,1004.0,4,Version 11,1,Windows 10 (64-bit),1
10,400,,4,Version 9.0c,8,Windows XP SP3 / Windows Vista / Windows 7 / Windows 8 / Windows 10 64-bit only,0
10,62,,8,Version 9.0c,8,Windows 7 / Windows 8 / Windows 10 64-bit only,1
11,400,,1,,0.95,Windows XP SP3 (or later),0
12,375,,4,Version 9.0,0.4,"Windows XP, Vista, 7, 8, 10",0
12,182,,4,Version 9.0,0.4,"Windows XP, Vista, 7, 10",1
13,198,1007.0,4,Version 11,3,Windows 7+ (64-bit OS required),0
13,165,1112.0,8,Version 11,3,Windows 7+ (64-bit OS required),1
14,254,1153.0,4,,15,"Windows 7, 8, 8.1, 10 x 64 (Requires a 64-bit processor and operating system)",0
14,315,1153.0,8,,15,"Windows 7, 8, 8.1, 10 x 64 (Requires a 64-bit processor and operating system)",1
15,287,1102.0,6,,4,"Windows 10, 64-bit",0
15,123,872.0,8,,4,"Windows 10, 64-bit",1
16,400,200.0,0.0625,,1.2,Windows 98/2000/XP/ME,0
17,401,1173.0,1.5,DirectX9.0c,3.5,Windows 2000/XP/Vista/7,0
18,375,,4,,0.25,Windows 7+,0
19,400,200.0,2,Version 9.0c,1.5,Windows XP SP3,0
20,317,1007.0,8,,50,Windows 7/8/10 (64 bits),0
20,159,1098.0,16,,50,Windows 7/8/10 (64 bits),1
21,236,1098.0,16,Directx 12 (Level 12 and Shader Model 6.0 are needed),55,Windows 10 (20H1 64-bit),0
21,223,39.0,16,Directx 12 (Level 12 and Shader Model 6.0 are needed),55,Windows 10 (20H1 64-bit),1
23,424,112.0,2,,0.25,Windows Vista,0
23,424,1106.0,4,,0.25,Windows 8.1 or 10,1
24,414,1102.0,6,,8,Windows 10 64bits,0
25,413,911.0,6,,30,"64-bit Windows 7, Windows 8.1, Windows 10",0
