name,price,link,company,product_seq,image,cpu_socket,chipset,form_factor,memory_type,memory_number,memory_capacity,xmp,expo,sata3_number,m2_number,m2_interface,m2_formfactor,pcie_version,vga_connection,wireless_lan,wired_lan_speed,phase,graphic_output,back_panel,io_header,feature,reg_date,bookmark
GIGABYTE B650M K 제이씨현,170850,https://prod.danawa.com/info/?pcode=20324882&cate=112751,GIGABYTE,20324882,//img.danawa.com/prod_img/500000/882/324/img/20324882_1.jpg?shrink=330:*&_v=20230822111204,AMD(소켓AM5),AMD B650,M-ATX (24.4x24.4cm),DDR5,4,192,2.0,1.0,4,2,10,88,12,PCIe4.0 x16,0,25.0,11.0,6,USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2 / BIOS 플래시백,11568,72,202305,
ASUS PRIME A320M-K 대원씨티에스,67780,https://prod.danawa.com/info/?pcode=7452181&cate=112751,ASUS PRIME,7452181,//img.danawa.com/prod_img/500000/181/452/img/7452181_1.jpg?shrink=330:*&_v=20220712091917,AMD(소켓AM4),AMD A320,M-ATX (22.6x22.1cm),DDR4,2,32,,,4,1,7,14,2,,0,10.0,6.0,18,USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,0,64,201705,
ASUS PRIME A520M-A II 대원씨티에스,79860,https://prod.danawa.com/info/?pcode=16284179&cate=112751,ASUS,16284179,//img.danawa.com/prod_img/500000/179/284/img/16284179_1.jpg?shrink=330:*&_v=20220712091916,AMD(소켓AM4),AMD A520,M-ATX (24.4x24.4cm),DDR4,4,,,,4,1,7,14,6,PCIe3.0 x16,0,10.0,6.0,22,USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,11312,64,202201,
ASUS PRIME H610M-K D4 인텍앤컴퍼니,98990,https://prod.danawa.com/info/?pcode=16083650&cate=112751,ASUS,16083650,//img.danawa.com/prod_img/500000/650/083/img/16083650_1.jpg?shrink=330:*&_v=20220711140908,인텔(소켓1700),인텔 H610,M-ATX (23.4x20.3cm),DDR4,2,64,1.0,,4,1,7,14,14,PCIe4.0 x16,0,10.0,,18,USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,9264,64,202201,
MSI MAG B760M 박격포,212490,https://prod.danawa.com/info/?pcode=18652871&cate=112751,MSI,18652871,//img.danawa.com/prod_img/500000/871/652/img/18652871_1.jpg?shrink=330:*&_v=20230808173337,인텔(소켓1700),인텔 B760,M-ATX (24.4x24.4cm),DDR5,4,192,2.0,,4,2,11,14,28,PCIe5.0 x16,0,25.0,14.0,6,USB 3.2 / USB 3.1 / USB 2.0 / RJ-45 / S/PDIF / 오디오잭,3248,75,202301,
MSI MAG B760M 박격포 맥스 WIFI,243850,https://prod.danawa.com/info/?pcode=18652877&cate=112751,MSI,18652877,//img.danawa.com/prod_img/500000/877/652/img/18652877_1.jpg?shrink=330:*&_v=20230808173217,인텔(소켓1700),인텔 B760,M-ATX (24.4x24.4cm),DDR5,4,192,2.0,,6,2,11,14,28,PCIe5.0 x16,3,25.0,14.0,6,USB 3.2 / USB 3.1 / USB 2.0 / RJ-45 / S/PDIF / 오디오잭,3248,75,202301,
MSI MAG B650 토마호크 WIFI,414980,https://prod.danawa.com/info/?pcode=17971181&cate=112751,MSI,17971181,//img.danawa.com/prod_img/500000/181/971/img/17971181_1.jpg?shrink=330:*&_v=20230908100120,AMD(소켓AM5),AMD B650,ATX (30.5x24.4cm),DDR5,4,192,1.0,,6,3,10,12,12,PCIe4.0 x16,3,25.0,17.0,6,USB 3.2 / USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / S/PDIF / 오디오잭,11440,75,202210,
ASUS TUF Gaming B650-PLUS 대원씨티에스,297430,https://prod.danawa.com/info/?pcode=18021581&cate=112751,ASUS,18021581,//img.danawa.com/prod_img/500000/581/021/img/18021581_1.jpg?shrink=330:*&_v=20230627163523,AMD(소켓AM5),AMD B650,ATX (30.5x24.4cm),DDR5,4,128,,1.0,4,3,26,46,12,PCIe4.0 x16,0,25.0,14.0,6,USB 3.2 / USB 3.1 / USB 2.0 / RJ-45 / 오디오잭,3380,75,202210,
ASRock B760M Pro RS D5 에즈윈,182700,https://prod.danawa.com/info/?pcode=19536062&cate=112751,ASRock,19536062,//img.danawa.com/prod_img/500000/062/536/img/19536062_1.jpg?shrink=330:*&_v=20230328143054,인텔(소켓1700),인텔 B760,M-ATX (24.4x24.4cm),DDR5,4,192,2.0,,4,3,10,14,20,PCIe5.0 x16,4,25.0,9.0,6,USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,11569,91,202303,
GIGABYTE B760M AORUS ELITE 제이씨현,209000,https://prod.danawa.com/info/?pcode=18649997&cate=112751,GIGABYTE,18649997,//img.danawa.com/prod_img/500000/997/649/img/18649997_1.jpg?shrink=330:*&_v=20230608153504,인텔(소켓1700),인텔 B760,M-ATX (24.4x24.4cm),DDR5,4,128,2.0,,4,2,10,40,8,PCIe4.0 x16,0,25.0,14.0,6,USB 3.2 / USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / S/PDIF / 오디오잭,3248,91,202301,
