name,price,link,company,product_seq,image,category,size,power_included,power_support,board_support,bay_133,bay_89,bay_64,pci_horizontal,pci_vertical,cooling_fan,led_fan,front_type,side_open,side_type,back_vent,front_vent,top_vent,bottom_vent,external_port,width,height,depth,gpu_size,cpu_cooler_size,power_size,liquid_cooler,radiator_top,radiator_front,radiator_rear,radiator_side,feature,led_color,reg_date,bookmark
DAVEN D6 MESH 강화유리 (블랙),38280.0,https://prod.danawa.com/info/?pcode=18212909&cate=112775,DAVEN,18212909,//img.danawa.com/prod_img/500000/909/212/img/18212909_1.jpg?shrink=330:*&_v=20221108161513,PC케이스(ATX),미들타워,파워미포함,표준-ATX,38,,2,2,7.0,,6.0,4,메쉬,,강화유리,120mm LED x1,120mm LED x3,120mm x2,,3,216.0,463.0,366.0,330.0,173.0,250.0,3.0,280.0,360.0,120.0,,0,RGB,202211,
BRAVOTEC GUARDIAN 3100M V2 타이탄 글래스 (블랙),77550.0,https://prod.danawa.com/info/?pcode=18419840&cate=112775,BRAVOTEC,18419840,//img.danawa.com/prod_img/500000/840/419/img/18419840_1.jpg?shrink=330:*&_v=20230313110415,PC케이스(ATX),빅타워,파워미포함,표준-ATX,39,,2,3,10.0,,4.0,4,메쉬,,강화유리,,,,,11,245.0,494.0,464.0,380.0,180.0,380.0,3.0,360.0,360.0,140.0,,0,ARGB,202212,
darkFlash DLX21 RGB MESH 강화유리 (화이트),100890.0,https://prod.danawa.com/info/?pcode=11884207&cate=112775,darkFlash,11884207,//img.danawa.com/prod_img/500000/207/884/img/11884207_1.jpg?shrink=330:*&_v=20230627162543,PC케이스(ATX),미들타워,파워미포함,표준-ATX,39,,2,2,7.0,,4.0,4,,스윙도어,강화유리,140mm LED x1,140mm LED x3,,,11,233.0,493.0,448.0,400.0,180.0,235.0,3.0,360.0,360.0,140.0,,0,RGB,202007,
앱코 NCORE G30 트루포스 (블랙),48000.0,https://prod.danawa.com/info/?pcode=14705840&cate=112775,앱코,14705840,//img.danawa.com/prod_img/500000/840/705/img/14705840_1.jpg?shrink=330:*&_v=20220622183436,PC케이스(ATX),미들타워,파워미포함,표준-ATX,38,,1,1,7.0,,6.0,4,메쉬,,강화유리,120mm LED x1,120mm LED x3,120mm x2,,3,225.0,485.0,385.0,340.0,175.0,345.0,3.0,280.0,360.0,120.0,,0,,202107,
마이크로닉스 Master M60 메쉬 (블랙),42319.0,https://prod.danawa.com/info/?pcode=10423167&cate=112775,마이크로닉스,10423167,//img.danawa.com/prod_img/500000/167/423/img/10423167_1.jpg?shrink=330:*&_v=20230905133849,PC케이스(ATX),미들타워,파워미포함,표준-ATX,38,,2,3,7.0,,6.0,4,메쉬,스윙도어,강화유리,120mm LED x1,120mm LED x3,120mm x2,,3,221.0,461.0,390.0,325.0,175.0,190.0,2.0,240.0,360.0,,,0,RGB,202001,
앱코 G40 시그니처 (블랙),59900.0,https://prod.danawa.com/info/?pcode=16900727&cate=112775,앱코,16900727,//img.danawa.com/prod_img/500000/727/900/img/16900727_1.jpg?shrink=330:*&_v=20230328092746,PC케이스(ATX),미들타워,파워미포함,표준-ATX,22,,1,1,7.0,,4.0,4,메쉬,스윙도어,강화유리,140mm LED x1,140mm LED x3,,,3,230.0,485.0,410.0,340.0,175.0,178.0,3.0,280.0,360.0,140.0,,0,RGB,202204,
아이구주 PRAY 30 PLUS (블랙),53800.0,https://prod.danawa.com/info/?pcode=17780918&cate=112775,아이구주,17780918,//img.danawa.com/prod_img/500000/918/780/img/17780918_1.jpg?shrink=330:*&_v=20230324145120,PC케이스(ATX),미들타워,파워미포함,표준-ATX,22,,2,2,7.0,,6.0,,메쉬,,강화유리,140mm x1,140mm x3,140mm x2,,3,225.0,458.0,400.0,350.0,175.0,,2.0,280.0,280.0,120.0,,0,,202209,
앱코 NCORE 커넬 강화유리,32500.0,https://prod.danawa.com/info/?pcode=11626910&cate=112775,앱코,11626910,//img.danawa.com/prod_img/500000/910/626/img/11626910_1.jpg?shrink=330:*&_v=20221005104046,PC케이스(ATX),미들타워,파워미포함,표준-ATX,38,,2,1,7.0,,4.0,1,메쉬,,강화유리,120mm LED x1,120mm x3,,,3,205.0,445.0,360.0,290.0,160.0,170.0,2.0,120.0,240.0,120.0,,0,RGB,202006,
3RSYS L600 Quiet (블랙),86000.0,https://prod.danawa.com/info/?pcode=17409059&cate=112775,3RSYS,17409059,//img.danawa.com/prod_img/500000/059/409/img/17409059_1.jpg?shrink=330:*&_v=20230525171622,PC케이스(ATX),미들타워,파워미포함,표준-ATX,23,,2,1,9.0,,4.0,,,스윙도어,강화유리,140mm x1,140mm x3,,,6,233.0,487.0,484.0,400.0,180.0,200.0,3.0,360.0,360.0,,,0,,202207,
잘만 N7 PLUS (Black),39800.0,https://prod.danawa.com/info/?pcode=20516462&cate=112775,잘만,20516462,//img.danawa.com/prod_img/500000/462/516/img/20516462_1.jpg?shrink=330:*&_v=20230613083943,PC케이스(ATX),미들타워,파워미포함,,38,,2,,7.0,,7.0,6,메쉬,스윙도어,강화유리,120mm LED x1,120mm LED x3,120mm LED x2,,3,210.0,490.0,402.0,340.0,160.0,180.0,,280.0,360.0,120.0,,0,,202306,
