name,price,link,company,product_seq,image,code,socket,core_number,thread_number,l2_cache,l3_cache,tdp,pbpmtp,has_graphic,graphic_name,graphic_core_speed,memory_capacity,memory_type,memory_clock,memory_channel,pcie_channel_number,pcie_version,has_cooler,clock_basic,clock_max,nm,tech_support,bench_mark,reg_date,bookmark
AMD 라이젠5-5세대 7600,267300.0,https://prod.danawa.com/info/?pcode=18718496&cate=112747,AMD,18718496,//img.danawa.com/prod_img/500000/496/718/img/18718496_1.jpg?shrink=330:*&_v=20230518090511,라파엘,AMD(소켓AM5),6,12,6.0,32.0,65.0,,1,AMD 라데온 그래픽,2200.0,128.0,1.0,5200.0,2.0,28.0,1.0,1,3.8,5.1,5.0,,27651,202301,
AMD 라이젠7-5세대 7800X3D,575670.0,https://prod.danawa.com/info/?pcode=19627808&cate=112747,AMD,19627808,//img.danawa.com/prod_img/500000/808/627/img/19627808_1.jpg?shrink=330:*&_v=20230627163422,라파엘,AMD(소켓AM5),8,16,8.0,96.0,120.0,,1,AMD 라데온 그래픽,2200.0,128.0,1.0,5200.0,2.0,28.0,1.0,1,4.2,5.0,5.0,,34740,202304,
인텔 코어i5-13세대 13400F,258090.0,https://prod.danawa.com/info/?pcode=18640280&cate=112747,인텔,18640280,//img.danawa.com/prod_img/500000/280/640/img/18640280_1.jpg?shrink=330:*&_v=20230627163439,랩터레이크,인텔(소켓1700),10,16,9.5,20.0,,148.0,0,,,128.0,3.0,4800.0,2.0,20.0,3.0,1,2.5,4.6,10.0,,25588,202301,
AMD 라이젠5-5세대 7500F,221160.0,https://prod.danawa.com/info/?pcode=21694499&cate=112747,AMD,21694499,//img.danawa.com/prod_img/500000/499/694/img/21694499_1.jpg?shrink=330:*&_v=20230727151838,라파엘,AMD(소켓AM5),6,12,6.0,32.0,65.0,,0,,,128.0,1.0,5200.0,2.0,28.0,1.0,1,3.7,5.0,5.0,,25578,202307,
AMD 라이젠5-5세대 7600X,291800.0,https://prod.danawa.com/info/?pcode=17913311&cate=112747,AMD,17913311,//img.danawa.com/prod_img/500000/311/913/img/17913311_1.jpg?shrink=330:*&_v=20230317131559,라파엘,AMD(소켓AM5),6,12,6.0,32.0,105.0,,1,AMD 라데온 그래픽,2200.0,128.0,1.0,5200.0,2.0,28.0,1.0,1,4.7,5.3,5.0,,28830,202209,
AMD 라이젠5-4세대 5600G,155280.0,https://prod.danawa.com/info/?pcode=14927675&cate=112747,AMD,14927675,//img.danawa.com/prod_img/500000/675/927/img/14927675_1.jpg?shrink=330:*&_v=20220808090643,세잔,AMD(소켓AM4),6,12,3.0,16.0,65.0,,1,AMD 라데온 그래픽 7,1900.0,,2.0,3200.0,2.0,,4.0,1,3.9,4.4,7.0,,19922,202108,
인텔 코어i9-13세대 13900K,754210.0,https://prod.danawa.com/info/?pcode=18039569&cate=112747,인텔,18039569,//img.danawa.com/prod_img/500000/569/039/img/18039569_1.jpg?shrink=330:*&_v=20230627160321,랩터레이크,인텔(소켓1700),24,32,32.0,36.0,,253.0,1,인텔 UHD 770,1650.0,128.0,3.0,5600.0,2.0,20.0,3.0,1,3.0,5.8,10.0,,59769,202210,
인텔 코어i5-12세대 12400F,180030.0,https://prod.danawa.com/info/?pcode=16101353&cate=112747,인텔,16101353,//img.danawa.com/prod_img/500000/353/101/img/16101353_1.jpg?shrink=330:*&_v=20230623112425,엘더레이크,인텔(소켓1700),6,12,7.5,18.0,117.0,,0,,,128.0,3.0,4800.0,2.0,20.0,3.0,1,2.5,4.4,10.0,,19639,202201,
인텔 코어i5-13세대 13600KF,382410.0,https://prod.danawa.com/info/?pcode=18038831&cate=112747,인텔,18038831,//img.danawa.com/prod_img/500000/831/038/img/18038831_1.jpg?shrink=330:*&_v=20221020215958,랩터레이크,인텔(소켓1700),14,20,20.0,24.0,,181.0,0,,,128.0,3.0,5600.0,2.0,20.0,3.0,1,3.5,5.1,10.0,,38230,202210,
인텔 코어i7-13세대 13700K,540600.0,https://prod.danawa.com/info/?pcode=18039374&cate=112747,인텔,18039374,//img.danawa.com/prod_img/500000/374/039/img/18039374_1.jpg?shrink=330:*&_v=20230623104755,랩터레이크,인텔(소켓1700),16,24,24.0,30.0,,253.0,1,인텔 UHD 770,1600.0,128.0,3.0,5600.0,2.0,20.0,3.0,1,3.4,5.4,10.0,,46838,202210,
