name,price,link,company,product_seq,image,size,capacity,interface,rpm,transfer_rate,buffer_capacity,recording_method,thickness,as_years,reg_date,bookmark
"Western Digital WD BLUE 5640/128M (WD80EAZZ, 8TB)",170730.0,https://prod.danawa.com/info/?pcode=15765761&cate=112763,Western Digital WD,15765761,//img.danawa.com/prod_img/500000/761/765/img/15765761_1.jpg?shrink=330:*&_v=20211206151137,8.9,8192.0,SATA3(6Gb/s),5640,185,128.0,0.0,26.1,,202111,
"Seagate BarraCuda 7200/256M (ST2000DM008, 2TB)",76000.0,https://prod.danawa.com/info/?pcode=6545078&cate=112763,Seagate,6545078,//img.danawa.com/prod_img/500000/078/545/img/6545078_1.jpg?shrink=330:*&_v=20220629141246,8.9,2048.0,SATA3 (6Gb/s),7200,220,256.0,1.0,20.2,,201810,
"Western Digital WD BLUE 7200/256M (WD20EZBX, 2TB)",74050.0,https://prod.danawa.com/info/?pcode=13522751&cate=112763,Western Digital WD,13522751,//img.danawa.com/prod_img/500000/751/522/img/13522751_1.jpg?shrink=330:*&_v=20210305135225,8.9,2048.0,SATA3(6Gb/s),7200,215,256.0,1.0,26.1,,202103,
"Seagate BarraCuda 5400/256M (ST4000DM004, 4TB)",112000.0,https://prod.danawa.com/info/?pcode=5173062&cate=112763,Seagate,5173062,//img.danawa.com/prod_img/500000/062/173/img/5173062_1.jpg?shrink=330:*&_v=20220629141314,8.9,4096.0,SATA3 (6Gb/s),5400,190,256.0,1.0,20.2,,201705,
"Seagate BarraCuda 5400/256M/해외구매 (ST8000DM004, 8TB)",130460.0,https://prod.danawa.com/info/?pcode=9721383&cate=112763,Seagate,9721383,//img.danawa.com/prod_img/500000/383/721/img/9721383_1.jpg?shrink=330:*&_v=20200528093624,8.9,8192.0,SATA3(6Gb/s),5400,190,256.0,1.0,26.11,,201910,
"Western Digital WD BLUE 5400/256M (WD40EZAX, 4TB)",112000.0,https://prod.danawa.com/info/?pcode=19965044&cate=112763,Western Digital WD,19965044,//img.danawa.com/prod_img/500000/044/965/img/19965044_1.jpg?shrink=330:*&_v=20230427174719,8.9,4096.0,SATA3(6Gb/s),5400,180,256.0,0.0,26.1,,202304,
"Western Digital WD BLUE 7200/64M (WD10EZEX, 1TB)",63690.0,https://prod.danawa.com/info/?pcode=1706996&cate=112763,Western Digital WD,1706996,//img.danawa.com/prod_img/500000/996/706/img/1706996_1.jpg?shrink=330:*&_v=20210412173807,8.9,1024.0,SATA3(6Gb/s),7200,150,64.0,0.0,25.4,,201206,
"Western Digital WD BLUE 5640/128M 해외구매 (WD80EAZZ, 8TB)",146280.0,https://prod.danawa.com/info/?pcode=17003267&cate=112763,Western Digital WD,17003267,//img.danawa.com/prod_img/500000/267/003/img/17003267_1.jpg?shrink=330:*&_v=20220509144844,8.9,8192.0,SATA3(6Gb/s),5640,185,128.0,0.0,26.1,,202111,
"도시바 P300 7200/64M (HDWD120, 2TB)",87000.0,https://prod.danawa.com/info/?pcode=6288809&cate=112763,도시바,6288809,//img.danawa.com/prod_img/500000/809/288/img/6288809_1.jpg?shrink=330:*&_v=20211115130146,8.9,2048.0,SATA3 (6Gb/s),7200,,64.0,0.0,26.1,,201807,
"Seagate BarraCuda 7200/64M (ST1000DM010, 1TB)",67000.0,https://prod.danawa.com/info/?pcode=4490034&cate=112763,Seagate,4490034,//img.danawa.com/prod_img/500000/034/490/img/4490034_1.jpg?shrink=330:*&_v=20220629140659,8.9,1024.0,SATA3 (6Gb/s),7200,210,64.0,2.0,20.2,,201609,
"도시바 P300 7200/256M (HDWD320, 2TB)",73820.0,https://prod.danawa.com/info/?pcode=17253821&cate=112763,도시바,17253821,//img.danawa.com/prod_img/500000/821/253/img/17253821_1.jpg?shrink=330:*&_v=20220615094151,8.9,2048.0,SATA3 (6Gb/s),7200,210,256.0,1.0,26.1,,202206,
"Seagate FireCuda 7200/256M (ST8000DX001, 8TB)",349000.0,https://prod.danawa.com/info/?pcode=16482848&cate=112763,Seagate,16482848,//img.danawa.com/prod_img/500000/848/482/img/16482848_1.jpg?shrink=330:*&_v=20220629150119,8.9,8192.0,SATA3 (6Gb/s),7200,260,256.0,0.0,26.1,,202203,
