name,price,link,company,product_seq,image,category,rated_power,80plus_certification,eta_certification,lambda_certification,voltage_fluctuation,output_method,availability,pfc_circuit,pf_factor,fan_size,fan_number,bearing,output_12v,cable_connection,depth,main_power,sub_power,pcie_16pin,pcie_8pin,pcie_6pin,sata,ide_4,rgb_connector,feature,inside,protection,as_years,reg_date,bookmark
앱코 SETTLER-II ST-700S 80PLUS STANDARD,56000.0,https://prod.danawa.com/info/?pcode=18872015&cate=112777,앱코,18872015,//img.danawa.com/prod_img/500000/015/872/img/18872015_1.jpg?shrink=330:*&_v=20230519102751,ATX 파워,700,80 PLUS 스탠다드,,,,+12V 싱글레일,85.0,액티브PFC,99.0,120.0,1,,42,케이블일체형,140,24핀(20+4),8핀(4+4) 2개,,3.0,,7,3.0,,40,2,47,6,202301,
마이크로닉스 Classic II 풀체인지 600W 80PLUS BRONZE 230V EU,58131.0,https://prod.danawa.com/info/?pcode=14677028&cate=112777,마이크로닉스,14677028,//img.danawa.com/prod_img/500000/028/677/img/14677028_1.jpg?shrink=330:*&_v=20230911161530,ATX 파워,600,80 PLUS 브론즈,BRONZE,STANDARD+,,+12V 싱글레일,100.0,액티브PFC,99.0,120.0,1,LLS(Sleeve),50,케이블일체형,140,24핀(20+4),8+4핀 1개,,2.0,,6,4.0,,43,6,59,7,202107,
잘만 TeraMax II 1000W 80PLUS Gold 풀모듈러 블랙 ATX 3.0 (PCIE5),169970.0,https://prod.danawa.com/info/?pcode=20662874&cate=112777,잘만,20662874,//img.danawa.com/prod_img/500000/874/662/img/20662874_1.jpg?shrink=330:*&_v=20230628150349,ATX 파워,1000,80 PLUS 골드,PLATINUM,A-,,+12V 싱글레일,100.0,액티브PFC,99.0,120.0,1,FDB(유체),83.33,풀모듈러,140,24핀,8핀(4+4) 2개,1.0,4.0,,12,3.0,,56,6,63,10,202306,
맥스엘리트 MAXWELL DUKE 1000W 80PLUS PLATINUM 풀모듈러 ATX 3.0,218000.0,https://prod.danawa.com/info/?pcode=18901058&cate=112777,맥스엘리트,18901058,//img.danawa.com/prod_img/500000/058/901/img/18901058_1.jpg?shrink=330:*&_v=20230915100517,ATX 파워,1000,80 PLUS 플레티넘,PLATINUM,A-,,+12V 싱글레일,99.0,액티브PFC,99.0,120.0,1,FDB(유체),83,풀모듈러,140,24핀(20+4),8핀(4+4) 2개,1.0,4.0,,12,6.0,,31,14,383,10,202302,
맥스엘리트 MAXWELL PRIMO 600W 80PLUS STANDARD 플랫,52500.0,https://prod.danawa.com/info/?pcode=18503426&cate=112777,맥스엘리트,18503426,//img.danawa.com/prod_img/500000/426/503/img/18503426_1.jpg?shrink=330:*&_v=20230519102751,ATX 파워,600,80 PLUS 스탠다드,,,,+12V 싱글레일,96.0,액티브PFC,95.0,120.0,1,HDB/HYB,48,케이블일체형,140,24핀(20+4),8핀(4+4) 1개,,2.0,,4,2.0,,40,2,379,5,202212,
마이크로닉스 Classic II 풀체인지 700W 80PLUS BRONZE 230V EU,78031.0,https://prod.danawa.com/info/?pcode=13934357&cate=112777,마이크로닉스,13934357,//img.danawa.com/prod_img/500000/357/934/img/13934357_1.jpg?shrink=330:*&_v=20230911161543,ATX 파워,700,80 PLUS 브론즈,BRONZE,STANDARD,0.3,+12V 싱글레일,100.0,액티브PFC,99.0,120.0,1,LLS(Sleeve),58.3,케이블일체형,140,24핀(20+4),8+4+4핀 1개,1.0,2.0,,6,4.0,,43,6,59,7,202104,
마이크로닉스 WIZMAX 850W 80PLUS SILVER ATX3.0 (PCIE5),132000.0,https://prod.danawa.com/info/?pcode=20628194&cate=112777,마이크로닉스,20628194,//img.danawa.com/prod_img/500000/194/628/img/20628194_1.jpg?shrink=330:*&_v=20230710093109,ATX 파워,850,80 PLUS 실버,,,0.9,+12V 싱글레일,100.0,액티브PFC,99.0,120.0,1,HDB,70.8,,160,24핀(20+4),8+4+4핀 1개,1.0,2.0,,8,4.0,,58,6,619,6,202306,
마이크로닉스 Classic II 풀체인지 800W 80PLUS BRONZE 230V EU,92915.0,https://prod.danawa.com/info/?pcode=13934516&cate=112777,마이크로닉스,13934516,//img.danawa.com/prod_img/500000/516/934/img/13934516_1.jpg?shrink=330:*&_v=20230911161604,ATX 파워,800,80 PLUS 브론즈,SILVER,STANDARD+,0.6,+12V 싱글레일,100.0,액티브PFC,99.0,120.0,1,LLS(Sleeve),67,케이블일체형,140,24핀(20+4),8+4+4핀 1개,1.0,2.0,,8,4.0,,43,6,59,7,202104,
darkFlash UPMOST 850W 80PLUS GOLD FULL MODULAR 화이트,140860.0,https://prod.danawa.com/info/?pcode=19814027&cate=112777,darkFlash,19814027,//img.danawa.com/prod_img/500000/027/814/img/19814027_1.jpg?shrink=330:*&_v=20230519102751,ATX 파워,850,80 PLUS 골드,,,,+12V 싱글레일,99.0,액티브PFC,99.0,120.0,1,FDB(유체),70.5,풀모듈러,140,24핀(20+4),8핀(4+4) 2개,,3.0,,8,4.0,,49,6,63,10,202304,
마이크로닉스 Classic II 750W 80PLUS GOLD 230V EU 풀모듈러,134082.0,https://prod.danawa.com/info/?pcode=12487214&cate=112777,마이크로닉스,12487214,//img.danawa.com/prod_img/500000/214/487/img/12487214_1.jpg?shrink=330:*&_v=20230519102751,ATX 파워,750,80 PLUS 골드,,,0.2,+12V 싱글레일,100.0,액티브PFC,99.0,120.0,1,FDB(유체),62.5,풀모듈러,140,24핀(20+4),8+4+4핀 1개,1.0,2.0,,8,4.0,,47,14,63,10,202010,
