cpu,mainboard,ram,gpu,case,power,cooler,ssd,sys_cooler
18640280,18652877,16443341,27613427,21583046,19813847,21550985,12338942,21646643
18039569,18652877,18700841,18021914,18419840,19023932,,13538642,
19627808,18021440,18911780,18668606,12969350,21206702,18714860,17454683,
19174175,21628184,18911780,21629063,,19814027,,17001050,
17913710,18021491,18911780,18303401,16571885,18442058,18076145,16587443,
19627808,18165161,17535839,19059974,16542008,19814027,,17001050,
19627808,21427535,18767360,19644539,20723090,21206702,,8034664,
18640379,18652877,18911780,18686546,16542008,18442058,,14905265,
18038831,19498640,18911780,18686546,16541294,19814027,,18297002,
18038831,19536062,16239410,20297981,11884207,16237661,,13276304,
17913311,19627259,18911780,19756001,20701928,19548806,,14905301,
21694499,20324882,18134837,27613427,18564128,20480564,,12339347,
16741211,16284179,7320400,20729429,15063971,14677028,,13161353,
18039569,18652877,18146438,9790371,18788645,13934357,,17454683,
18039569,18652871,15764342,18686444,18419840,13934516,,13538642,
15594887,15615839,15759071,17982338,17764370,13168653,16862453,12338942,
19627808,17926670,18700841,19702460,18419840,9564369,,13538642,
15594887,16088780,10019547,14442641,16799618,13853267,11881423,17454683,
18039569,18652877,18911780,18668606,18419840,18901058,,17000984,
17913710,17971187,16193474,18686444,20229659,14121053,,13276568,
17913311,17971187,16193474,20274764,27672713,21206702,,7136788,
18640379,19536062,18911780,20297981,16900748,19814027,,13276568,
18718481,20506130,18911771,19714703,19583933,13466708,,7136788,
19627808,18021581,18610958,18108812,10958634,20057756,,18297722,
18640442,18652877,16507634,16367189,16900727,13854197,14110475,13161353,
18725225,18167699,15759071,20730374,18419840,12400805,,12339347,
18640379,18167699,18911780,18686444,16571885,18442058,14588231,7136788,
18039356,18652871,18911780,19702460,18538823,20202218,,12339347,
17913863,18021491,18911780,18668606,15122126,17523467,18076187,17454683,
18640379,18652877,18911780,18686546,12969350,18442058,10900926,13161338,
18640280,18652871,27545627,19773293,18419840,16200560,,17001050,
18039269,18421946,18911780,18668606,24138818,16761773,,12339347,
17913863,17971253,15764342,13512254,11884168,12400748,,18297002,
18640280,17353070,18911780,18790985,16437518,17523098,6375041,17454683,
18640379,16637543,18911780,16313996,12192788,18871952,17743070,17454767,
18640379,18652886,11541857,18686444,16663688,18442058,17743070,12339347,
