name,price,link,company,product_seq,image,form_factor,interface,protocol,volume,memory_type,nand,ram_type,ram_mounted,sequential_read,sequential_write,read_iops,write_iops,heatsink,rgbled,as_year,support_option,reg_date,bookmark
SK하이닉스 Platinum P41 M.2 NVMe,129000.0,https://prod.danawa.com/info/?pcode=17001050&cate=112760,SK하이닉스,17001050,//img.danawa.com/prod_img/500000/050/001/img/17001050_1.jpg?shrink=330:*&_v=20230713080936,M.2 (2280),PCIe4.0x4 (64GT/s),NVMe 1.4,1TB,TLC(기타),3D낸드,DDR4,DRAM 탑재,"7,000","6,500","1,400","1,300",0,0,5,31,202205,
삼성전자 PM9A1 M.2 NVMe 병행수입,87640.0,https://prod.danawa.com/info/?pcode=13276568&cate=112760,삼성전자,13276568,//img.danawa.com/prod_img/500000/568/276/img/13276568_1.jpg?shrink=330:*&_v=20221017171819,M.2 (2280),PCIe4.0x4 (64GT/s),NVMe 1.3,1TB,TLC(기타),3D낸드,,DRAM 탑재,"7,000","5,100","1,000",850,0,0,nan,0,202102,
마이크론 Crucial P5 Plus M.2 NVMe 대원씨티에스,83190.0,https://prod.danawa.com/info/?pcode=14905265&cate=112760,마이크론,14905265,//img.danawa.com/prod_img/500000/265/905/img/14905265_1.jpg?shrink=330:*&_v=20221012130150,M.2 (2280),PCIe4.0x4 (64GT/s),NVMe,1TB,TLC(기타),3D낸드,확인요망,DRAM 탑재,"6,600","5,000",630,700,0,0,5,57,202108,
삼성전자 980 PRO M.2 NVMe,174590.0,https://prod.danawa.com/info/?pcode=13538642&cate=112760,삼성전자,13538642,//img.danawa.com/prod_img/500000/642/538/img/13538642_1.jpg?shrink=330:*&_v=20230804161114,M.2 (2280),PCIe4.0x4 (64GT/s),NVMe 1.3c,2TB,TLC(기타),3D낸드,DDR4 2GB,DRAM 탑재,"7,000","5,100","1,000","1,000",0,0,5,27,202103,
SK하이닉스 Gold P31 M.2 NVMe,47940.0,https://prod.danawa.com/info/?pcode=13161353&cate=112760,SK하이닉스,13161353,//img.danawa.com/prod_img/500000/353/161/img/13161353_1.jpg?shrink=330:*&_v=20230103133110,M.2 (2280),PCIe3.0x4 (32GT/s),NVMe 1.3,500GB,TLC(기타),3D낸드,DDR4,DRAM 탑재,"3,500","3,200",570,600,0,0,5,13,202101,
삼성전자 870 EVO,40470.0,https://prod.danawa.com/info/?pcode=13190519&cate=112760,삼성전자,13190519,//img.danawa.com/prod_img/500000/519/190/img/13190519_1.jpg?shrink=330:*&_v=20210804095106,6.4cm(2.5형),SATA3 (6Gb/s),,500GB,TLC(기타),3D낸드,DDR4 512MB,DRAM 탑재,560,530,98,88,0,0,5,11,202101,
삼성전자 970 EVO Plus M.2 NVMe,80990.0,https://prod.danawa.com/info/?pcode=7136788&cate=112760,삼성전자,7136788,//img.danawa.com/prod_img/500000/788/136/img/7136788_1.jpg?shrink=330:*&_v=20220830162012,M.2 (2280),PCIe3.0x4 (32GT/s),NVMe 1.3,1TB,TLC(토글),3D낸드,DDR4 1GB,DRAM 탑재,"3,500","3,300",600,550,0,0,5,27,201901,
마이크론 Crucial MX500 대원씨티에스,45410.0,https://prod.danawa.com/info/?pcode=5791864&cate=112760,마이크론 Crucial,5791864,//img.danawa.com/prod_img/500000/864/791/img/5791864_1.jpg?shrink=330:*&_v=20221221095831,6.4cm(2.5형),SATA3 (6Gb/s),,500GB,TLC(기타),3D낸드,,DRAM 탑재,560,510,95,90,0,0,5,59,201801,
솔리다임 P41 PLUS M.2 NVMe,63970.0,https://prod.danawa.com/info/?pcode=17706038&cate=112760,솔리다임,17706038,//img.danawa.com/prod_img/500000/038/706/img/17706038_1.jpg?shrink=330:*&_v=20230216130422,M.2 (2280),PCIe4.0x4 (64GT/s),NVMe,1TB,QLC,3D낸드,,,"4,125","2,950",390,540,0,0,5,4,202208,
타무즈 GK300,23760.0,https://prod.danawa.com/info/?pcode=9496839&cate=112760,타무즈,9496839,//img.danawa.com/prod_img/500000/839/496/img/9496839_1.jpg?shrink=330:*&_v=20210118143841,6.4cm(2.5형),SATA3 (6Gb/s),,256GB,TLC(토글),3D낸드,,,550,500,90,85,0,0,3,47,201909,
삼성전자 990 PRO M.2 NVMe,212370.0,https://prod.danawa.com/info/?pcode=18297722&cate=112760,삼성전자,18297722,//img.danawa.com/prod_img/500000/722/297/img/18297722_1.jpg?shrink=330:*&_v=20230210153410,M.2 (2280),PCIe4.0x4 (64GT/s),NVMe 2.0,2TB,TLC(기타),3D낸드,DDR4 2GB,DRAM 탑재,"7,450","6,900","1,400","1,550",0,0,5,27,202211,
삼성전자 870 QVO,439620.0,https://prod.danawa.com/info/?pcode=11711015&cate=112760,삼성전자,11711015,//img.danawa.com/prod_img/500000/015/711/img/11711015_1.jpg?shrink=330:*&_v=20200828125657,6.4cm(2.5형),SATA3 (6Gb/s),,8TB,QLC,3D낸드,DDR4 8GB,DRAM 탑재,560,530,98,88,0,0,3,59,202006,
마이크론 Crucial P3 M.2 NVMe 대원씨티에스,251960.0,https://prod.danawa.com/info/?pcode=17454560&cate=112760,마이크론,17454560,//img.danawa.com/prod_img/500000/560/454/img/17454560_1.jpg?shrink=330:*&_v=20221206161928,M.2 (2280),PCIe3.0x4 (32GT/s),NVMe,4TB,QLC,3D낸드,,,"3,500","3,000",nan,nan,0,0,5,0,202207,
Western Digital WD Blue SN570 M.2 NVMe,39600.0,https://prod.danawa.com/info/?pcode=15796589&cate=112760,Western Digital,15796589,//img.danawa.com/prod_img/500000/589/796/img/15796589_1.jpg?shrink=330:*&_v=20211206163612,M.2 (2280),PCIe3.0x4 (32GT/s),NVMe 1.4,500GB,TLC(기타),3D낸드,,,"3,500","2,300",360,390,0,0,5,63,202111,
삼성전자 980 M.2 NVMe,44680.0,https://prod.danawa.com/info/?pcode=13562693&cate=112760,삼성전자,13562693,//img.danawa.com/prod_img/500000/693/562/img/13562693_1.jpg?shrink=330:*&_v=20210422125316,M.2 (2280),PCIe3.0x4 (32GT/s),NVMe 1.4,500GB,TLC(기타),,,,"3,100","2,600",400,470,0,0,5,91,202103,
Western Digital WD BLACK SN770 M.2 NVMe,47170.0,https://prod.danawa.com/info/?pcode=16587548&cate=112760,Western Digital,16587548,//img.danawa.com/prod_img/500000/548/587/img/16587548_1.jpg?shrink=330:*&_v=20220928141521,M.2 (2280),PCIe4.0x4 (64GT/s),NVMe 1.4,500GB,TLC(기타),3D낸드,,,"5,000","4,000",460,800,0,0,5,9,202203,
Seagate 파이어쿠다 540 M.2 NVMe,499000.0,https://prod.danawa.com/info/?pcode=20687681&cate=112760,Seagate,20687681,//img.danawa.com/prod_img/500000/681/687/img/20687681_1.jpg?shrink=330:*&_v=20230705102945,M.2 (2280),PCIe5.0x4 (128GT/s),NVMe 2.0,2TB,TLC(기타),3D낸드,DDR4 2GB,DRAM 탑재,"10,000","10,000","1,490","1,500",0,0,5,9,202306,
