product_seq,pci_type,pci_number
20324882,PCIex16,1
20324882,PCIex1,1
7452181,PCIex16,1
7452181,PCIex1,2
16284179,PCIex16,1
16284179,PCIex1,2
16083650,PCIex16,1
16083650,PCIex1,1
18652871,PCIex16,1
18652871,PCIex16(at x4),1
18652871,PCIex1,1
18652877,PCIex16,1
18652877,PCIex16(at x4),1
18652877,PCIex1,1
17971181,PCIex16,1
17971181,PCIex16(at x4),1
17971181,PCIex1,1
18021581,PCIex16,1
18021581,PCIex16(at x4),1
18021581,PCIex1,2
19536062,PCIex16,1
19536062,PCIex16(at x4),1
18649997,PCIex16,1
18649997,PCIex16(at x4),1
11571368,PCIex16,1
11571368,PCIex16(at x4),1
11571368,PCIex1,1
16089002,PCIex16,2
16089002,PCIex1,1
17971187,PCIex16,1
17971187,PCIex16(at x4),1
17971187,PCIex1,1
16084070,PCIex16,1
16084070,PCIex1,2
18060350,PCIex16,1
18060350,PCIex16(at x4),2
20593100,PCIex16,1
20593100,PCIex1,2
18357167,PCIex16,1
18357167,PCIex16(at x4),1
18357167,PCIex1,1
21727307,PCIex16,1
21727307,PCIex1,1
19628207,PCIex16,1
19628207,PCIex16(at x4),1
19628207,PCIex1,1
17971184,PCIex16,1
17971184,PCIex16(at x4),1
17971184,PCIex1,1
16301447,PCIex16,1
16301447,PCIex1,1
20391572,PCIex16,1
20391572,PCIex16(at x4),1
11684576,PCIex16,2
11684576,PCIex1,1
19177262,PCIex16,1
19177262,PCIex16(at x4),1
19177262,PCIex1,1
19627259,PCIex16,1
19627259,PCIex16(at x4),1
19627259,PCIex1,1
19498640,PCIex16,1
19498640,PCIex16(at x4),1
12067598,PCIex16,1
12067598,PCIex1,1
18651431,PCIex16,1
18651431,PCIex16(at x4),1
27915716,PCIex16,1
27915716,PCIex16(at x4),1
27915716,PCIex1,1
17926766,PCIex16,1
17926766,PCIex16(at x4),1
17926766,PCIex1,1
18059849,PCIex16,1
18059849,PCIex16(at x4),1
17926763,PCIex16,1
17926763,PCIex16(at x4),1
17926763,PCIex16(at x1),1
17926763,PCIex1,1
16088780,PCIex16,2
16088780,PCIex1,1
12464213,PCIex16,2
12464213,PCIex1,1
18599705,PCIex16,1
18599705,PCIex16(at x4),1
18599705,PCIex4,1
18599705,PCIex1,2
19673600,PCIex16,1
19673600,PCIex1,1
19919207,PCIex16,1
19919207,PCIex16(at x4),2
18651560,PCIex16,1
18651560,PCIex1,2
16427084,PCIex16,2
16427084,PCIex1,1
20238110,PCIex16,1
20238110,PCIex1,1
20608010,PCIex16,2
20608010,PCIex1,3
18652865,PCIex16,1
18652865,PCIex16(at x4),1
18652865,PCIex1,1
18165161,PCIex16,1
18165161,PCIex16(at x4),1
18036947,PCIex16,1
18036947,PCIex1,2
12069566,PCIex16,1
12069566,PCIex1,2
18113015,PCIex16,1
18113015,PCIex16(at x4),1
17971178,PCIex16,1
17971178,PCIex16(at x4),1
17971178,PCIex1,1
